;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;
29369278; 0.788; 1.35; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 9:29.461
29389279; 0.788; 1.34; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 9:52.132
29409280; 0.788; 1.35; 4.121; 0.772; 49.6; 32.1; 49.5; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 10:14.258
29429281; 0.788; 1.353; 4.112; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 10:35.943
29449282; 0.788; 1.337; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 10:57.627
29469283; 0.788; 1.356; 4.112; 0.772; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 11:19.618
29489284; 0.788; 1.353; 4.112; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 11:41.331
29509285; 0.788; 1.35; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 12:3.259
29529286; 0.788; 1.356; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 12:25.227
29549287; 0.788; 1.346; 4.108; 0.772; 49.6; 32.1; 49.5; 50.2; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 12:46.956
29569288; 0.788; 1.35; 4.115; 0.775; 49.7; 32.1; 49.5; 50.2; 63.5; 1273.0; 1273.0; 497.0; 1270.0; 13:8.522
29589289; 0.788; 1.353; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 13:30.248
29609290; 0.788; 1.356; 4.112; 0.775; 49.6; 32.1; 49.5; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 13:51.995
29629291; 0.788; 1.356; 4.112; 0.772; 49.6; 32.1; 49.5; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 14:13.947
29649292; 0.788; 1.346; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 14:35.781
29669293; 0.788; 1.33; 4.121; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1273.0; 497.0; 1270.0; 14:57.660
29689294; 0.788; 1.356; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 15:19.734
29709295; 0.788; 1.356; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 15:41.750
29729296; 0.788; 1.356; 4.112; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 16:3.876
29749297; 0.788; 1.356; 4.112; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 16:26.425
29769298; 0.788; 1.356; 4.108; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 16:48.21
29789299; 0.788; 1.353; 4.108; 0.775; 49.7; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 17:9.826
29809300; 0.785; 1.31; 4.115; 0.775; 49.7; 32.1; 49.4; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 17:31.979
29829301; 0.785; 1.31; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 17:54.603
29849302; 0.785; 1.304; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 18:17.78
29869303; 0.785; 1.313; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 18:39.570
29889304; 0.788; 1.353; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 19:1.695
29909305; 0.788; 1.317; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 19:24.24
29929306; 0.785; 1.31; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 19:45.950
29949307; 0.785; 1.307; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 20:7.634
29969308; 0.785; 1.31; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1273.0; 497.0; 1270.0; 20:29.689
29989309; 0.788; 1.313; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 20:52.291
30009310; 0.785; 1.304; 4.115; 0.775; 49.6; 32.1; 49.5; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 21:14.975
30029311; 0.785; 1.29; 4.115; 0.775; 49.6; 32.1; 49.5; 50.3; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 21:37.271
30049312; 0.785; 1.304; 4.121; 0.775; 49.5; 32.1; 49.5; 50.3; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 22:0.836
30069313; 0.785; 1.307; 4.115; 0.775; 49.5; 32.1; 49.5; 50.3; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 23:13.972
30089314; 0.785; 1.304; 4.115; 0.775; 49.5; 32.0; 49.5; 50.3; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 23:35.456
30109315; 0.785; 1.31; 4.115; 0.775; 49.5; 32.0; 49.5; 50.3; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 23:56.729
30129316; 0.785; 1.307; 4.115; 0.775; 49.6; 32.0; 49.5; 50.3; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 24:18.782
30149317; 0.788; 1.31; 4.115; 0.775; 49.5; 32.0; 49.5; 50.3; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 24:42.502
30169318; 0.788; 1.307; 4.118; 0.775; 49.5; 32.0; 49.5; 50.3; 63.5; 1273.0; 1272.0; 497.0; 1269.0; 25:4.420
30189319; 0.788; 1.31; 4.108; 0.775; 49.6; 32.1; 49.5; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 25:26.197
30209320; 0.785; 1.297; 4.112; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 25:48.297
30229321; 0.785; 1.31; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 26:10.223
30249322; 0.785; 1.304; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 26:32.95
30269323; 0.785; 1.31; 4.112; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 26:54.224
30289324; 0.785; 1.304; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 27:16.446
30309325; 0.785; 1.307; 4.115; 0.775; 49.6; 32.1; 49.4; 50.2; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 27:39.568
30329326; 0.785; 1.304; 4.112; 0.775; 49.5; 32.1; 49.4; 50.2; 63.4; 1273.0; 1273.0; 497.0; 1270.0; 28:1.593
30349327; 0.785; 1.31; 4.112; 0.772; 49.5; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 28:23.454
30369328; 0.785; 1.297; 4.121; 0.775; 49.5; 32.1; 49.4; 50.2; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 28:45.388
30389329; 0.788; 1.31; 4.115; 0.775; 49.5; 32.1; 49.4; 50.2; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 29:7.113
30409330; 0.785; 1.31; 4.115; 0.775; 49.5; 32.1; 49.4; 50.2; 63.5; 1273.0; 1272.0; 497.0; 1270.0; 29:29.121
30429331; 0.788; 1.34; 4.115; 0.775; 49.6; 32.1; 49.4; 50.1; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 29:51.3
30449332; 0.788; 1.327; 4.112; 0.775; 49.6; 32.1; 49.4; 50.1; 63.4; 1273.0; 1272.0; 497.0; 1270.0; 30:12.968
30893906; 0.785; 1.304; 4.125; 0.775; 49.5; 32.2; 49.3; 50.1; 63.4; 1274.0; 1272.0; 497.0; 1270.0; 34:54.143
30913907; 0.785; 1.297; 4.115; 0.772; 49.6; 32.2; 49.3; 50.1; 63.4; 1274.0; 1273.0; 497.0; 1270.0; 35:16.216
30933908; 0.785; 1.294; 4.121; 0.775; 49.6; 32.2; 49.4; 50.1; 63.5; 1274.0; 1273.0; 497.0; 1270.0; 35:38.34
30953909; 0.785; 1.313; 4.121; 0.772; 49.6; 32.2; 49.4; 50.1; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 35:59.903
30973910; 0.788; 1.353; 4.121; 0.775; 49.6; 32.1; 49.4; 50.1; 63.5; 1274.0; 1272.0; 497.0; 1270.0; 36:21.612
